r (fm),p3/2,p1/2
0.1,0.014055922,0.011086918
0.2,0.027994594,0.02207924
0.3,0.041700631,0.032883864
0.4,0.055062326,0.043410644
0.5,0.067973384,0.05357378
0.6,0.080334527,0.063293109
0.7,0.09205493,0.072495271
0.8,0.103053472,0.081114716
0.9,0.11325976,0.089094543
1,0.122614914,0.096387142
1.1,0.13107211,0.102954648
1.2,0.138596854,0.108769182
1.3,0.14516702,0.113812898
1.4,0.150772633,0.118077824
1.5,0.155415426,0.121565531
1.6,0.159108199,0.124286627
1.7,0.161873989,0.1262601
1.8,0.163745091,0.127512546
1.9,0.164761959,0.128077279
2,0.164972027,0.127993383
2.1,0.164428467,0.127304709
2.2,0.163188939,0.126058846
2.3,0.16131434,0.124306102
2.4,0.158867602,0.12209851
2.5,0.155912552,0.119488884
2.6,0.152512858,0.116529936
2.7,0.148731077,0.113273478
2.8,0.144627818,0.109769721
2.9,0.140261039,0.106066663
3,0.135685457,0.102209595
3.1,0.130952099,0.098240706
3.2,0.126107972,0.094198796
3.3,0.121195855,0.090119085
3.4,0.116254199,0.086033123
3.5,0.111317119,0.081968775
3.6,0.106414483,0.077950288
3.7,0.101572065,0.073998419
3.8,0.096811753,0.070130615
3.9,0.092151812,0.066361229
4,0.087607167,0.062701776
4.1,0.083189716,0.059161193
4.2,0.078908637,0.055746121
4.3,0.074770713,0.052461179
4.4,0.070780632,0.049309233
4.5,0.06694128,0.046291657
4.6,0.06325401,0.043408567
4.7,0.059718894,0.040659041
4.8,0.056209041,0.038269391
4.9,0.052916394,0.036027624
5,0.049826372,0.033923812
5.1,0.046925494,0.031948777
5.2,0.04420129,0.030094028
5.3,0.041642206,0.0283517
5.4,0.039237529,0.026714499
5.5,0.036977316,0.025175654
5.6,0.034852329,0.023728877
5.7,0.032853982,0.022368321
5.8,0.030974283,0.021088546
5.9,0.029205791,0.019884485
6,0.027541572,0.018751417
6.1,0.02597516,0.017684941
6.2,0.024500524,0.016680949
6.3,0.023112031,0.015735606
6.4,0.021804419,0.014845331
6.5,0.020572772,0.014006776
6.6,0.019412491,0.01321681
6.7,0.018319275,0.012472505
6.8,0.017289098,0.011771118
6.9,0.01631819,0.011110084
7,0.015403018,0.010486998
7.1,0.014540273,0.009899607
7.2,0.013726853,0.009345797
7.3,0.012959847,0.008823589
7.4,0.012236526,0.008331122
7.5,0.011554329,0.007866655
7.6,0.01091085,0.007428549
7.7,0.010303832,0.007015266
7.8,0.009731155,0.006625364
7.9,0.009190826,0.006257486
8,0.008680972,0.005910357
8.1,0.008199835,0.005582779
8.2,0.007745758,0.005273626
8.3,0.007317188,0.004981838
8.4,0.006912659,0.004706418
8.5,0.006530796,0.004446431
8.6,0.006170303,0.004200992
8.7,0.005829961,0.003969274
8.8,0.005508623,0.003750493
8.9,0.005205207,0.003543916
9,0.004918697,0.003348848
9.1,0.004648135,0.003164639
9.2,0.004392618,0.002990672
9.3,0.004151297,0.002826371
9.4,0.00392337,0.002671189
9.5,0.003708083,0.002524613
9.6,0.003504724,0.002386158
9.7,0.003312624,0.002255369
9.8,0.003131151,0.002131814
9.9,0.002959708,0.002015089
10,0.002797734,0.001904811
